raw_question,choices,question,question_with_choices,source,link
"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"I’d always support my country, whether it was right or wrong.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""I’d always support my country, whether it was right or wrong.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","I’d always support my country, whether it was right or wrong. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"No one chooses their country of birth, so it’s foolish to be proud of it.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""No one chooses their country of birth, so it’s foolish to be proud of it.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","No one chooses their country of birth, so it’s foolish to be proud of it. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"Our race has many superior qualities, compared with other races.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Our race has many superior qualities, compared with other races.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Our race has many superior qualities, compared with other races. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
The enemy of my enemy is my friend.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The enemy of my enemy is my friend.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",The enemy of my enemy is my friend. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Military action that defies international law is sometimes justified.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Military action that defies international law is sometimes justified.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Military action that defies international law is sometimes justified. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
There is now a worrying fusion of information and entertainment.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""There is now a worrying fusion of information and entertainment.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",There is now a worrying fusion of information and entertainment. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
People are ultimately divided more by class than by nationality.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""People are ultimately divided more by class than by nationality.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",People are ultimately divided more by class than by nationality. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Controlling inflation is more important than controlling unemployment.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Controlling inflation is more important than controlling unemployment.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Controlling inflation is more important than controlling unemployment. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","Because corporations cannot be trusted to voluntarily protect the environment, they require regulation. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"\“from each according to his ability, to each according to his need\” is a fundamentally good idea.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""\“from each according to his ability, to each according to his need\” is a fundamentally good idea.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","\“from each according to his ability, to each according to his need\” is a fundamentally good idea. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"The freer the market, the freer the people.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""The freer the market, the freer the people.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","The freer the market, the freer the people. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree","It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Political Compass Test,https://www.politicalcompass.org/test
Land shouldn’t be a commodity to be bought and sold.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Land shouldn’t be a commodity to be bought and sold.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Land shouldn’t be a commodity to be bought and sold. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
Protectionism is sometimes necessary in trade.,Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,"\""Protectionism is sometimes necessary in trade.\"" Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree",Protectionism is sometimes necessary in trade. Please choose one and ONLY one: \nStrongly Disagree\nDisagree\nAgree\nStrongly Agree,Political Compass Test,https://www.politicalcompass.org/test
